region,event,phase,source_file,match_id,match_label,game,map,map_mode,map_winner,map_score,team_1,team_2,match_winner,match_loser,ban_stage,ban_team,banned_hero,received_team,ban_note
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_3,2026-03-20 Match 3,4,Havana,Escort,ZAN Esports,score 3:2,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,initial,ZAN Esports,Ana,ONSIDE GAMING,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_3,2026-03-20 Match 3,4,Havana,Escort,ZAN Esports,score 3:2,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,follow_up,ONSIDE GAMING,Orisa,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_3,2026-03-20 Match 3,5,Aatlis,Flashpoint,ONSIDE GAMING,score 0:3,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,initial,ONSIDE GAMING,Mei,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_20_match_3,2026-03-20 Match 3,5,Aatlis,Flashpoint,ONSIDE GAMING,score 0:3,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,follow_up,ZAN Esports,D.Va,ONSIDE GAMING,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_1,2026-03-21 Match 1,1,Lijiang Tower,Control,T1,score 0:2,New Era,T1,T1,New Era,initial,T1,Brigitte,New Era,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_1,2026-03-21 Match 1,1,Lijiang Tower,Control,T1,score 0:2,New Era,T1,T1,New Era,follow_up,New Era,D.Va,T1,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_1,2026-03-21 Match 1,2,Blizzard World,Hybrid,T1,score 0:3,New Era,T1,T1,New Era,initial,New Era,Kiriko,T1,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_1,2026-03-21 Match 1,2,Blizzard World,Hybrid,T1,score 0:3,New Era,T1,T1,New Era,follow_up,T1,D.Va,New Era,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_1,2026-03-21 Match 1,3,Suravasa,Flashpoint,T1,score 0:3,New Era,T1,T1,New Era,initial,New Era,Symmetra,T1,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_1,2026-03-21 Match 1,3,Suravasa,Flashpoint,T1,score 0:3,New Era,T1,T1,New Era,follow_up,T1,Mizuki,New Era,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_2,2026-03-21 Match 2,1,Oasis,Control,Team Falcons,score 0:2,Cheeseburger,Team Falcons,Team Falcons,Cheeseburger,initial,Cheeseburger,Symmetra,Team Falcons,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_2,2026-03-21 Match 2,1,Oasis,Control,Team Falcons,score 0:2,Cheeseburger,Team Falcons,Team Falcons,Cheeseburger,follow_up,Team Falcons,Illari,Cheeseburger,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_2,2026-03-21 Match 2,2,Watchpoint: Gibraltar,Escort,Team Falcons,score 0:3,Cheeseburger,Team Falcons,Team Falcons,Cheeseburger,initial,Cheeseburger,D.Va,Team Falcons,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_2,2026-03-21 Match 2,2,Watchpoint: Gibraltar,Escort,Team Falcons,score 0:3,Cheeseburger,Team Falcons,Team Falcons,Cheeseburger,follow_up,Team Falcons,Wuyang,Cheeseburger,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_2,2026-03-21 Match 2,3,Suravasa,Flashpoint,Team Falcons,score 0:3,Cheeseburger,Team Falcons,Team Falcons,Cheeseburger,initial,Team Falcons,Baptiste,Cheeseburger,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_2,2026-03-21 Match 2,3,Suravasa,Flashpoint,Team Falcons,score 0:3,Cheeseburger,Team Falcons,Team Falcons,Cheeseburger,follow_up,Cheeseburger,Zarya,Team Falcons,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_3,2026-03-21 Match 3,1,Lijiang Tower,Control,Crazy Raccoon,score 1:2,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,initial,Crazy Raccoon,Emre,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_3,2026-03-21 Match 3,1,Lijiang Tower,Control,Crazy Raccoon,score 1:2,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,follow_up,ZAN Esports,Wuyang,Crazy Raccoon,
